exit_ts,slug,asset,tf,entry_price,exit_price,shares,cost,pnl,won,exit_reason,entry_ts
2026-03-12T05:38:42.787586+00:00,ethereum-up-or-down-march-12-1am-et__MOM_UP,ETH,1h,0.555,0.555,18.0,9.99,-0.7084011973679942,False,stop_loss,2026-03-12T05:37:27.819421+00:00
2026-03-12T05:41:39.068774+00:00,btc-updown-15m-1773293400,BTC,15m,0.905,0.99,11.0,9.955,0.9350000000000005,True,target,2026-03-12T05:39:49.278259+00:00
2026-03-12T05:47:47.994354+00:00,bitcoin-up-or-down-march-12-1am-et,BTC,1h,0.905,0.845,11.0,9.955,-0.6600000000000001,False,stop_loss,2026-03-12T05:46:05.954212+00:00
2026-03-12T05:59:16.606840+00:00,ethereum-up-or-down-march-12-1am-et,ETH,1h,0.945,0.99,10.0,9.45,0.45000000000000107,True,target,2026-03-12T05:55:16.073560+00:00
2026-03-12T05:59:17.123710+00:00,bitcoin-up-or-down-march-12-1am-et,BTC,1h,0.925,0.965,10.0,9.25,0.40000000000000036,True,expiring,2026-03-12T05:55:16.073560+00:00
2026-03-12T05:59:17.643280+00:00,xrp-updown-15m-1773294300,XRP,15m,0.925,0.975,10.0,9.25,0.75,True,auto_resolved,2026-03-12T05:57:01.963820+00:00
2026-03-12T06:00:54.254564+00:00,85557891307524665158453601494485295932054798672784877585135864270030141060133,ORPHAN,?,0,0.99,12.089984,9.052049090432,2.9170350695679996,True,target,
2026-03-12T06:03:35.356062+00:00,102481860759296179244496668651372751859333169711380314066546895826490181346619,ORPHAN,?,0,0.99,2.433838,2.19318009856,0.21631952144,True,target,
2026-03-12T06:06:26.373881+00:00,xrp-up-or-down-march-12-2am-et__MOM_DOWN,XRP,1h,0.575,0.575,17.0,9.774999999999999,1.821762152495996,False,stop_loss,2026-03-12T06:05:11.136896+00:00
2026-03-12T06:06:26.934763+00:00,bitcoin-up-or-down-march-12-2am-et__MOM_DOWN,BTC,1h,0.595,0.595,16.0,9.52,1.5724305191259997,False,stop_loss,2026-03-12T06:05:47.997345+00:00
2026-03-12T06:27:01.256019+00:00,btc-updown-15m-1773296100,BTC,15m,0.935,0.765,10.0,9.350000000000001,-1.700000000000001,False,stop_loss,2026-03-12T06:25:18.606722+00:00
2026-03-12T07:27:04.116753+00:00,xrp-updown-15m-1773299700,XRP,15m,0.945,0.981,10.0,9.45,0.3600000000000012,True,profit_lock,2026-03-12T07:24:04.123595+00:00
2026-03-12T07:27:38.446354+00:00,eth-updown-15m-1773299700,ETH,15m,0.945,0.985,10.0,9.45,0.40000000000000036,True,profit_lock,2026-03-12T07:25:50.785442+00:00
2026-03-12T07:48:04.900303+00:00,ethereum-up-or-down-march-12-3am-et,ETH,1h,0.925,0.97,15.0,13.875,0.6749999999999989,True,profit_lock,2026-03-12T07:35:01.043027+00:00
2026-03-12T07:48:05.825584+00:00,bitcoin-up-or-down-march-12-3am-et,BTC,1h,0.915,0.975,20.0,18.3,1.1999999999999993,True,profit_lock,2026-03-12T07:35:01.043027+00:00
2026-03-12T07:49:20.060592+00:00,xrp-up-or-down-march-12-3am-et,XRP,1h,0.93,0.97,10.0,9.3,0.3999999999999986,True,profit_lock,2026-03-12T07:48:39.002634+00:00
2026-03-12T07:54:00.910419+00:00,xrp-up-or-down-march-12-3am-et,XRP,1h,0.97,0.98,10.0,9.7,0.10000000000000142,True,profit_lock,2026-03-12T07:49:18.975170+00:00
2026-03-12T07:57:25.752893+00:00,btc-updown-15m-1773301500,BTC,15m,0.925,0.965,10.0,9.25,0.40000000000000036,True,profit_lock,2026-03-12T07:53:21.285886+00:00
2026-03-12T08:27:04.987167+00:00,xrp-updown-15m-1773303300,XRP,15m,0.96,0.99,10.0,9.6,0.40000000000000036,True,auto_resolved,2026-03-12T08:18:43.390155+00:00
2026-03-12T08:27:05.649685+00:00,eth-updown-15m-1773303300,ETH,15m,0.965,0.99,10.0,9.65,0.34999999999999964,True,auto_resolved,2026-03-12T08:19:22.355099+00:00
2026-03-12T08:29:20.785019+00:00,btc-updown-15m-1773303300,BTC,15m,0.955,0.6985,10.0,9.549999999999999,-2.5649999999999986,False,stop_loss,2026-03-12T08:19:22.355099+00:00
2026-03-12T09:43:02.233532+00:00,btc-updown-15m-1773307800,BTC,15m,0.975,0.99,11.0,10.725,0.27500000000000036,True,auto_resolved,2026-03-12T09:39:06.323808+00:00
2026-03-12T09:43:03.136809+00:00,21121398577667198059108334686992540786988475128082030222915570309834932559985,ORPHAN,?,0,0.99,10.99895,10.778971,0.10998950000000107,True,target,
2026-03-12T09:53:00.404185+00:00,ethereum-up-or-down-march-12-5am-et,ETH,1h,0.965,0.9695,17.0,16.405,0.5949999999999989,True,auto_resolved,2026-03-12T09:45:09.886470+00:00
2026-03-12T09:59:27.692312+00:00,xrp-up-or-down-march-12-5am-et,XRP,1h,0.975,0.96,10.0,9.75,-0.15000000000000036,False,expiring,2026-03-12T09:45:47.810557+00:00
2026-03-12T09:59:28.392212+00:00,bitcoin-up-or-down-march-12-5am-et,BTC,1h,0.955,0.82,23.0,21.965,-3.1050000000000004,False,expiring,2026-03-12T09:45:47.810557+00:00
2026-03-12T10:27:26.231167+00:00,btc-updown-15m-1773310500,BTC,15m,0.935,0.985,12.0,11.22,0.5999999999999996,True,profit_lock,2026-03-12T10:23:15.096493+00:00
2026-03-12T10:27:26.764112+00:00,eth-updown-15m-1773310500,ETH,15m,0.925,0.985,11.0,10.175,0.6599999999999984,True,profit_lock,2026-03-12T10:23:15.096493+00:00
2026-03-12T10:43:18.151369+00:00,eth-updown-15m-1773311400,ETH,15m,0.905,0.99,11.0,9.955,1.045,True,auto_resolved,2026-03-12T10:39:24.351967+00:00
2026-03-12T10:47:14.427224+00:00,ethereum-up-or-down-march-12-6am-et,ETH,1h,0.915,0.99,18.0,16.47,1.3500000000000014,True,target,2026-03-12T10:34:43.418534+00:00
2026-03-12T10:47:15.198192+00:00,bitcoin-up-or-down-march-12-6am-et,BTC,1h,0.945,0.99,23.0,21.735,1.0350000000000001,True,target,2026-03-12T10:37:03.602759+00:00
2026-03-12T10:48:25.252120+00:00,xrp-up-or-down-march-12-6am-et,XRP,1h,0.97,0.988,10.0,9.7,0.17999999999999972,True,profit_lock,2026-03-12T10:43:17.059939+00:00
2026-03-12T11:27:19.271562+00:00,eth-updown-15m-1773314100,ETH,15m,0.945,0.955,12.0,11.34,0.11999999999999922,True,profit_lock,2026-03-12T11:24:51.743045+00:00
2026-03-12T11:27:19.802421+00:00,btc-updown-15m-1773314100,BTC,15m,0.915,0.925,11.0,10.065000000000001,0.10999999999999943,True,profit_lock,2026-03-12T11:24:51.743045+00:00
2026-03-12T11:48:16.911877+00:00,bitcoin-up-or-down-march-12-7am-et,BTC,1h,0.915,0.945,23.0,21.045,0.6899999999999977,True,profit_lock,2026-03-12T11:43:38.543400+00:00
2026-03-12T11:59:07.339389+00:00,bitcoin-up-or-down-march-12-7am-et,BTC,1h,0.945,0.655,22.0,20.79,-6.379999999999999,False,expiring,2026-03-12T11:48:15.521936+00:00
2026-03-12T12:03:42.267530+00:00,74168821031996763149713853735285942624459011854609160370587345873999337278581,ORPHAN,?,0,0.99,2.16707,2.0141051969799997,0.1312941030200001,True,target,
2026-03-12T12:27:30.261843+00:00,xrp-updown-15m-1773317700,XRP,15m,0.95,0.975,10.0,9.5,0.25,True,profit_lock,2026-03-12T12:25:04.344298+00:00
2026-03-12T12:59:17.392713+00:00,ethereum-up-or-down-march-12-8am-et,ETH,1h,0.915,0.715,16.0,14.64,-3.200000000000001,False,expiring,2026-03-12T12:49:31.864619+00:00
