resolved_timestamp,event_name,city,target_date,series_slug,question,outcome_name,won,max_implied_prob,max_clob_buy_price,first_seen_timestamp,last_seen_timestamp,minutes_tracked
2026-03-11T05:57:07.697946+00:00,Highest temperature in Chicago on March 11?,Chicago,2026-03-11,chicago-daily-weather,Will the highest temperature in Chicago be between 42-43°F on March 11?,No,true,0.995,0.999,2026-03-11T04:27:18.867654+00:00,2026-03-11T05:52:03.999570+00:00,84.8
2026-03-11T06:00:10.085083+00:00,Highest temperature in Lucknow on March 12?,Lucknow,2026-03-12,lucknow-daily-weather,Will the highest temperature in Lucknow be 41°C on March 12?,No,true,0.995,0,2026-03-11T04:27:18.867654+00:00,2026-03-11T05:55:06.375222+00:00,87.8
2026-03-11T06:03:12.722511+00:00,Highest temperature in Sao Paulo on March 11?,Sao Paulo,2026-03-11,sao-paulo-daily-weather,Will the highest temperature in Sao Paulo be 19°C on March 11?,No,true,0.995,0,2026-03-11T04:27:18.867654+00:00,2026-03-11T05:58:08.283083+00:00,90.8
2026-03-11T06:03:12.722511+00:00,Highest temperature in Atlanta on March 11?,Atlanta,2026-03-11,atlanta-daily-weather,Will the highest temperature in Atlanta be between 72-73°F on March 11?,No,true,0.995,0,2026-03-11T04:49:21.204053+00:00,2026-03-11T05:58:08.283083+00:00,68.8
2026-03-11T06:12:53.248090+00:00,Highest temperature in Wellington on March 11?,Wellington,2026-03-11,wellington-daily-weather,Will the highest temperature in Wellington be 18°C on March 11?,Yes,true,0.994,0,2026-03-11T04:27:18.867654+00:00,2026-03-11T06:07:15.542624+00:00,99.9
2026-03-11T06:12:53.248090+00:00,Highest temperature in Wellington on March 11?,Wellington,2026-03-11,wellington-daily-weather,Will the highest temperature in Wellington be 19°C on March 11?,No,true,0.994,0,2026-03-11T04:27:18.867654+00:00,2026-03-11T06:07:15.542624+00:00,99.9
2026-03-11T06:12:53.248090+00:00,Highest temperature in Buenos Aires on March 12?,Buenos Aires,2026-03-12,buenos-aires-daily-weather,Will the highest temperature in Buenos Aires be 33°C or higher on March 12?,No,true,0.995,0,2026-03-11T05:25:44.986779+00:00,2026-03-11T06:07:15.542624+00:00,41.5
2026-03-11T06:12:53.248090+00:00,Highest temperature in Wellington on March 11?,Wellington,2026-03-11,wellington-daily-weather,Will the highest temperature in Wellington be 20°C on March 11?,No,true,0.9935,0,2026-03-11T06:02:12.000589+00:00,2026-03-11T06:07:15.542624+00:00,5.1
2026-03-11T06:18:56.364605+00:00,Highest temperature in Chicago on March 11?,Chicago,2026-03-11,chicago-daily-weather,Will the highest temperature in Chicago be between 52-53°F on March 11?,No,likely,0.9895,0.991,2026-03-11T04:27:18.867654+00:00,2026-03-11T06:13:53.271700+00:00,106.6
2026-03-11T06:24:58.296993+00:00,Highest temperature in Seoul on March 12?,Seoul,2026-03-12,seoul-daily-weather,Will the highest temperature in Seoul be 5°C or below on March 12?,No,true,0.995,0,2026-03-11T04:27:18.867654+00:00,2026-03-11T06:19:56.741984+00:00,112.6
2026-03-11T06:31:01.696363+00:00,Highest temperature in Lucknow on March 12?,Lucknow,2026-03-12,lucknow-daily-weather,Will the highest temperature in Lucknow be 40°C on March 12?,No,likely,0.989,0,2026-03-11T04:27:18.867654+00:00,2026-03-11T06:25:59.139853+00:00,118.7
2026-03-11T06:49:09.239808+00:00,Highest temperature in Tokyo on March 12?,Tokyo,2026-03-12,tokyo-daily-weather,Will the highest temperature in Tokyo be 6°C or below on March 12?,No,true,0.9945,0,2026-03-11T04:27:18.867654+00:00,2026-03-11T06:44:07.381622+00:00,136.8
2026-03-11T06:58:13.815337+00:00,Highest temperature in Tel Aviv on March 11?,Tel Aviv,2026-03-11,tel-aviv-daily-weather,Will the highest temperature in Tel Aviv be 19°C on March 11?,No,true,0.995,0,2026-03-11T04:27:18.867654+00:00,2026-03-11T06:53:11.321853+00:00,145.9
2026-03-11T06:58:13.815337+00:00,Highest temperature in Buenos Aires on March 12?,Buenos Aires,2026-03-12,buenos-aires-daily-weather,Will the highest temperature in Buenos Aires be 33°C or higher on March 12?,No,true,0.995,0,2026-03-11T06:23:58.281748+00:00,2026-03-11T06:53:11.321853+00:00,29.2
2026-03-11T07:01:15.517738+00:00,Highest temperature in Seoul on March 11?,Seoul,2026-03-11,seoul-daily-weather,Will the highest temperature in Seoul be 9°C on March 11?,No,true,0.995,0,2026-03-11T06:05:14.538966+00:00,2026-03-11T06:56:12.742852+00:00,51.0
2026-03-11T07:13:21.633923+00:00,Highest temperature in Seoul on March 11?,Seoul,2026-03-11,seoul-daily-weather,Will the highest temperature in Seoul be 9°C on March 11?,No,true,0.9945,0,2026-03-11T07:03:16.103987+00:00,2026-03-11T07:08:19.238863+00:00,5.1
2026-03-11T07:31:31.643457+00:00,Highest temperature in Seoul on March 11?,Seoul,2026-03-11,seoul-daily-weather,Will the highest temperature in Seoul be 8°C on March 11?,No,true,0.995,0,2026-03-11T04:27:18.867654+00:00,2026-03-11T07:26:28.893219+00:00,179.2
