exit_ts,tier,event,outcome,entry_price,exit_price,shares,cost,pnl,won,exit_reason,entry_ts,ratio,s1_margin,category,market_id,token_id
2026-03-22T22:34:05.275903+00:00,B,Miami Open: Tommy Paul vs Raphael Collignon,Tommy Paul,0.9,0.99,5.623182166666665,5.060863949999999,0.4950,True,API_WIN,2026-03-22T20:41:26.640600+00:00,3.1,4,ATP_TOUR,1668660,37770369633710231124760708352193007806670563617219791724871815760873649217463
2026-03-23T12:37:24.868383+00:00,A,Dubrovnik: Dominika Salkova vs Kaitlin Quevedo,Kaitlin Quevedo,0.81,1.0,10.164377469135802,8.23314575,1.9312,True,AUTO_RESOLVED,2026-03-23T11:11:16.435410+00:00,0,5,WTA_CHALL,1686063,85606042659629767287663698877469502535813979087532217245178410555913871310515
2026-03-23T15:50:33.629617+00:00,A,Miami Open: Karolina Muchova vs Alexandra Eala,Karolina Muchova,0.97,1.0,7.770667010309278,7.537547,0.2331,True,AUTO_RESOLVED,2026-03-23T15:35:08.193489+00:00,2.1,6,WTA_TOUR,1678549,36522252518196221292774949921985562727054833159996326779557325206989886269480
2026-03-23T17:27:36.124732+00:00,A,Miami Open: Francisco Cerundolo vs Daniil Medvedev,Francisco Cerundolo,0.62,0.0,12.221584677419354,7.5773825,-7.5774,False,AUTO_RESOLVED,2026-03-23T16:34:19.918405+00:00,0,6,ATP_TOUR,1678603,79524041466211300390672070401932538028679627514123660808582990700085706410232
2026-03-24T10:59:37.101575+00:00,A,Dubrovnik: Lucija Bagaric vs Mia Ristic,Mia Ristic,0.94,1.0,22.57396356382979,21.21952575,1.3544,True,AUTO_RESOLVED,2026-03-24T10:39:37.099219+00:00,1.7,5,WTA_CHALL,1692119,35163864765025724127828181611687568836171771945690687349746090253654669627946
2026-03-24T11:23:44.298052+00:00,B,Dubrovnik: Amarissa Kiara Toth vs Andrea Lazaro Garcia,Andrea Lazaro Garcia,0.89,1.0,14.305298258426966,12.73171545,1.5736,True,AUTO_RESOLVED,2026-03-24T10:44:42.086139+00:00,1.8,4,WTA_CHALL,1692093,80839729078367895098144234562423172249950085844669171229089382330885566967411
2026-03-24T11:51:29.343622+00:00,S,Dubrovnik: Sarah Rakotomanga vs Sara Sorribes Tormo,Sara Sorribes Tormo,0.94,1.0,36.11834170212766,33.9512412,2.1671,True,AUTO_RESOLVED,2026-03-24T10:46:42.632880+00:00,0,6,WTA_CHALL,1692134,102595273658929169324809255393517196951868909684393205898610207157339090942052
2026-03-24T15:32:21.971292+00:00,A,Dubrovnik: Ana Konjuh vs Tamara Korpatsch,Tamara Korpatsch,0.96,1.0,21.13507994791667,20.28967675,0.8454,True,AUTO_RESOLVED,2026-03-24T14:35:58.288315+00:00,7.2,5,WTA_CHALL,1686077,110667437508485858994702889323573684508563790997000202036722234602452518064086
2026-03-24T16:57:58.217203+00:00,B,Miami Open: Sebastian Korda vs Martin Landaluce,Sebastian Korda,0.95,0.0,12.897553263157896,12.2526756,-12.2527,False,AUTO_RESOLVED,2026-03-24T15:47:30.430126+00:00,4.2,4,ATP_TOUR,1688367,50274864585091852645040151295627150497968673600479958636738903969993962607091
2026-03-24T17:23:43.900644+00:00,B,Dubrovnik: Nuria Brancaccio vs Lisa Pigato,Nuria Brancaccio,0.78,1.0,13.423943076923074,10.470675599999998,2.9533,True,AUTO_RESOLVED,2026-03-24T16:36:05.437876+00:00,1.3,4,WTA_CHALL,1686073,86036715298364984304088805879977790682773499821124540431516130339406796277718
2026-03-24T21:54:34.346266+00:00,B,Miami Open: Tomas Etcheverry vs Tommy Paul,Tommy Paul,0.92,1.0,13.69763054347826,12.6018201,1.0958,True,AUTO_RESOLVED,2026-03-24T21:10:08.089861+00:00,1.4,5,ATP_TOUR,1688346,42127505862258856250721786290703976233873610253689276319242379739541148227439
2026-03-25T01:16:54.993319+00:00,C,Miami Open: Belinda Bencic vs Coco Gauff,Coco Gauff,0.79,0.0,6.859235392405063,5.41879596,-5.4188,False,AUTO_RESOLVED,2026-03-25T00:22:20.824760+00:00,3.0,3,WTA_TOUR,1698802,60934086420957889034794152253930692156499540585263163919929942134851131767106
2026-03-25T16:54:59.947910+00:00,B,Dubrovnik: Kaitlin Quevedo vs Veronika Erjavec,Veronika Erjavec,0.86,0.99,12.055869941860465,10.36804815,1.5673,True,WIN,2026-03-25T16:28:06.638285+00:00,1.5,4,WTA_CHALL,1692155,67261434896716402532267209722146832744240180884534508622011944297692092330462
