resolved_timestamp,event_slug,series_slug,asset,timeframe,market_type,threshold_price,winning_outcome
2026-03-06T08:57:49Z,eth-updown-5m-1772787000,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T09:03:07Z,xrp-updown-5m-1772787300,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T09:03:07Z,sol-updown-5m-1772787300,sol-up-or-down-5m,SOL,5m,up_down,,Up
2026-03-06T09:03:07Z,btc-updown-4h-1772773200,btc-up-or-down-4h,BTC,4h,up_down,,Up
2026-03-06T09:03:07Z,xrp-updown-4h-1772773200,xrp-up-or-down-4h,XRP,4h,up_down,,Up
2026-03-06T09:03:07Z,btc-updown-5m-1772787300,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T09:03:07Z,xrp-updown-15m-1772786700,xrp-up-or-down-15m,XRP,15m,up_down,,Up
2026-03-06T09:03:07Z,eth-updown-4h-1772773200,eth-up-or-down-4h,ETH,4h,up_down,,Up
2026-03-06T09:03:07Z,sol-updown-15m-1772786700,sol-up-or-down-15m,SOL,15m,up_down,,Down
2026-03-06T09:03:07Z,sol-updown-4h-1772773200,sol-up-or-down-4h,SOL,4h,up_down,,Up
2026-03-06T09:03:07Z,btc-updown-15m-1772786700,btc-up-or-down-15m,BTC,15m,up_down,,Down
2026-03-06T09:03:07Z,eth-updown-15m-1772786700,eth-up-or-down-15m,ETH,15m,up_down,,Down
2026-03-06T09:03:07Z,eth-updown-5m-1772787300,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T09:08:22Z,btc-updown-5m-1772787600,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T09:08:22Z,sol-updown-5m-1772787600,sol-up-or-down-5m,SOL,5m,up_down,,Up
2026-03-06T09:08:22Z,eth-updown-5m-1772787600,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T09:08:22Z,xrp-updown-5m-1772787600,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T09:12:36Z,eth-updown-5m-1772787900,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T09:12:36Z,btc-updown-5m-1772787900,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T09:12:36Z,sol-updown-5m-1772787900,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T09:12:36Z,xrp-updown-5m-1772787900,xrp-up-or-down-5m,XRP,5m,up_down,,Down
2026-03-06T09:17:55Z,btc-updown-5m-1772788200,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T09:17:55Z,xrp-updown-5m-1772788200,xrp-up-or-down-5m,XRP,5m,up_down,,Down
2026-03-06T09:17:55Z,xrp-updown-15m-1772787600,xrp-up-or-down-15m,XRP,15m,up_down,,Down
2026-03-06T09:17:55Z,btc-updown-15m-1772787600,btc-up-or-down-15m,BTC,15m,up_down,,Down
2026-03-06T09:17:55Z,eth-updown-15m-1772787600,eth-up-or-down-15m,ETH,15m,up_down,,Down
2026-03-06T09:17:55Z,sol-updown-15m-1772787600,sol-up-or-down-15m,SOL,15m,up_down,,Down
2026-03-06T09:17:55Z,eth-updown-5m-1772788200,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T09:17:55Z,sol-updown-5m-1772788200,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T09:22:17Z,sol-updown-5m-1772788500,sol-up-or-down-5m,SOL,5m,up_down,,Down
