resolved_timestamp,event_name,league,game_id,market_type,outcome_name,won,max_implied_prob,max_clob_buy_price,first_seen_timestamp,last_seen_timestamp,minutes_tracked
2026-02-28T22:51:02.308983+00:00,Southern Utah Thunderbirds vs. Utah Tech Trailblazers (W),cwbb,144171,moneyline,Utah Tech Trailblazers,true,0.99,0,2026-02-28T21:01:20.491063+00:00,2026-02-28T22:46:59.479737+00:00,105.6
2026-02-28T23:09:59.999774+00:00,Kansas Jayhawks vs. Arizona Wildcats,ncaa-cbb,71561,moneyline,Arizona Wildcats,true,0.99,0.964,2026-02-28T21:01:20.491063+00:00,2026-02-28T23:05:57.412623+00:00,124.6
2026-02-28T23:12:43.040034+00:00,Rockets vs. Heat,nba-2026,20023329,spread,Heat,true,0.99,0.98,2026-02-28T20:30:00.384005+00:00,2026-02-28T23:08:39.948269+00:00,158.7
2026-02-28T23:20:53.020380+00:00,Lindenwood Lions vs. Western Illinois Leathernecks,ncaa-cbb,67013,moneyline,Lindenwood Lions,true,0.99,0.95,2026-02-28T21:31:03.806535+00:00,2026-02-28T23:16:48.475829+00:00,105.7
2026-02-28T23:26:22.483124+00:00,Colorado Rapids SC vs. Portland Timbers,mls-2025,90104102,moneyline,No,true,0.99,0.97,2026-02-28T21:31:03.806535+00:00,2026-02-28T23:22:15.768602+00:00,111.2
2026-02-28T23:31:50.783138+00:00,ATX Open: Ashlyn Krueger vs Taylor Townsend,wta,5206831,moneyline,Over,true,0.99,0,2026-02-28T21:35:11.148562+00:00,2026-02-28T23:27:45.725560+00:00,112.6
2026-03-01T00:46:19.150361+00:00,Real Oviedo vs. Club Atlético de Madrid - Exact Score,la-liga-2025,,moneyline,No,true,0.99,0,2026-02-28T20:00:09.004929+00:00,2026-03-01T00:42:14.495639+00:00,282.1
2026-03-01T00:51:42.485128+00:00,Oklahoma Sooners vs. LSU Tigers,ncaa-cbb,67330,moneyline,Oklahoma Sooners,true,0.99,0.981,2026-02-28T23:00:31.671684+00:00,2026-03-01T00:47:41.101313+00:00,107.2
2026-03-01T00:51:42.485128+00:00,Call of Duty: OpTic Texas vs Los Angeles Thieves (BO5) - Call of Duty League Stage 2 Major Qualifiers Qualifiers,call-of-duty,1350387,moneyline,OpTic Texas,true,0.99,0.999,2026-02-28T23:45:27.627158+00:00,2026-03-01T00:47:41.101313+00:00,62.2
2026-03-01T00:53:03.524371+00:00,LoL: Sentinels vs LYON (BO5) - LCS Lock In Playoffs,league-of-legends,1314734,over_under,Under,true,0.99,0,2026-03-01T00:46:19.150361+00:00,2026-03-01T00:49:01.546887+00:00,2.7
2026-03-01T01:00:53.103973+00:00,UNCG Spartans vs. Samford Bulldogs,ncaa-cbb,67825,moneyline,Over,true,0.99,0,2026-02-28T23:00:31.671684+00:00,2026-03-01T00:55:46.228241+00:00,115.2
2026-03-01T01:19:51.731671+00:00,Northwestern State Demons vs. Texas A&M-Corpus Christi Islanders,ncaa-cbb,67612,moneyline,Texas A&M-Corpus Christi Islanders,true,0.99,0.98,2026-02-28T23:30:29.387261+00:00,2026-03-01T01:15:47.729381+00:00,105.3
2026-03-01T01:28:03.309885+00:00,Harvard Crimson vs. Penn Quakers,ncaa-cbb,68277,spread,Penn Quakers,true,0.99,0,2026-02-28T23:00:31.671684+00:00,2026-03-01T01:23:57.822406+00:00,143.4
2026-03-01T01:41:41.616982+00:00,Wright State Raiders vs. Northern Kentucky Norse,ncaa-cbb,68930,moneyline,Over,true,0.99,0.94,2026-03-01T00:00:04.260479+00:00,2026-03-01T01:37:37.086718+00:00,97.5
2026-03-01T01:52:33.188450+00:00,Islanders vs. Blue Jackets,nhl-2026,30024910,moneyline,Under,true,0.99,0.79,2026-02-28T23:00:31.671684+00:00,2026-03-01T01:48:30.253839+00:00,168.0
